"w1","w2","w3","w4","iportfolio","sdp","sharp","des"
0,0.16,0.74,0.1,0.0022911061452514,0.0264567980687472,0.0625934529970554,"Minimal risk portfolio"
0,0,0.41,0.59,0.00414471508379888,0.0380475879242899,0.0922432005913212,"Maximum efficiency portfolio"
1,0,0,0,0.00635083798882682,0.125050934956775,0.0457074086804697,"Maximum rate of return portfolio"
1,0,0,0,0.00635083798882682,0.125050934956775,0.0457074086804697,"Max weight one portfolio"
0,1,0,0,0.0013391061452514,0.0572759369761849,0.0122917648062474,"Max weight two portfolio"
0,0,1,0,0.00204972067039106,0.029195769614872,0.0484534879597002,"Max weight three portfolio"
0,0,0,1,0.00560055865921788,0.0564638469369746,0.0879407821057197,"Max weight four portfolio"
